date,address,district,event_type,lbs_trash,people_served,bags,summary,comments
4/13/2024,"2800 Camp Wisdom Rd Dallas,TX",South West,clean,650,0,0,"A Get Up 2 Code event was done on two properties simultaneously- on one property (Pastor Jenkins) we removed multiple articles of bulk trash including a broken go-kart, air conditioners, bath tub, couches, mattresses, and more. On the other property (Jeff) we removed large piles of dead branches and overgrown vegetation, as well as multiple junk doors and door panes.",Clients were uncomfortable with before pictures- going forward we will get proper before/after photos
4/13/2024,5542 N Jim Miller rd,South East,clean,540,0,0,"At the inaugural Clean and Green event, we successfully cleaned multiple parking lots and storefronts that were heavily littered, making a significant difference all the way up to the doors. The positive feedback from store managers, owners, and patrons underscores the impact and importance of our efforts in improving the local environment. In addition to the physical cleanup, our Clean and Green event fostered a strong sense of community within the neighborhood. By working together toward a common goal of beautification and environmental stewardship, we strengthened bonds among residents and businesses, creating a more connected and supportive community spirit.","We plan to leverage social media platforms to share success stories, photos, and future event announcements can help broaden community involvement."
4/13/2024,"3623 Bonnie View Rd Dallas,TX",South Central,clean,50,0,0,Cleared a parking lot and grassed areas,na
4/13/2024,9761 walnut st,North East,clean,30,0,0,"Today we were about to clean the entire area, we crossed the intersection once we finished in our area to continue the cleaning. The volunteers were very excited and wanted to keep going.  So we did all 4 corners of the intersection. We keep the glass separated in order to ♻️ it. We also are deciding to have a lawn care team.come to the area and cut the grass. The city missed some areas. Neighbors honked and gave us thumbs up.",We have more photos to share aswell
4/13/2024,"13450 Esperanza Rd Dallas,TX",North Central,clean,5,0,0,Collectively we covered 3 blocks on Esperanza Rd collecting trash and debris along the walk/bike path.,na
4/13/2024,"9501 Larga Rd Dallas,TX",North West,clean,,,0,,
4/25/2024,3623 Bonnie View,South Central,clean,50,0,0,Cleared the parking lot and gated in edges of grass where kids play. Multiple volunteers came out,If we cut the grass in the back area it would be a great place for the kids to play. They would do well with a basketball court to help the community enjoy the open space more
4/27/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,252,150,,We would like more fruit.
4/27/2024,7191 American Way,South West,distribution,0,35,40,,"This is a very unique sight, early afternoon produce drive may reach more residents than morning drives. Also, “ready to eat” bags will be great for this site as well. A very close knit community (everyone knows everyone)."
4/27/2024,9756 Walnut St,North East,distribution,0,87,87,,We also added bread to our produce drive. This is something we're going to attempt to add site wide..the community was so surprised it was for free
4/27/2024,"13999 Goldmark Dr, Dallas Tx 75240",North Central,distribution,0,70,76,,The signage we created and set up to indicate where the event was taking place was very helpful for local residents and for directing traffic flow; Simple flyers with dates for the upcoming produce drives were very helpful for local residents. A flyer could be included in each produce bag. Future flyers should be in both Spanish and English; Spanish-speaking volunteers were very helpful in our location. We did not anticipate needing Spanish-speaking volunteers.
4/27/2024,3728 Bonnie View Rd Dallas Tx,South Central,distribution,0,60,80,,na
4/27/2024,"3410 Hidalgo Dr. Dallas, Tx",North West,distribution,0,75,75,,"Future plans to have physical flyers and signage in English and Spanish for recipients, prior to the week of distribution."
5/11/2024,9645 Webb Chapel Rd,North West,clean,50,0,0,"We cleaned up refuse on Bolivar Drive in front of a new apartment development. Additionally, we picked up trash down a prominent alley with lots of empty bottles and plastic litter lining the road and fences.",na
5/11/2024,9501 Larga Dr,North West,clean,30,0,0,The heavy foot traffic areas in front of apartments on Larga and Bolivar behind small businesses were cleaned.,The areas where the sidewalk runs out and where construction is happening tends to have large amounts bulk and bottle trash.
5/11/2024,3623 Bonnie View,South Central,clean,15,0,0,Was a lot more glass on the ground,
5/12/2024,9761 walnut st,North East,clean,40,0,0,Today we had more trash than last week would love to figure out why...our biggest issue is lawn care..which we are working on when the ground dry from all the rain.,Let's find out ways to get the lawn care handle as a unit
5/25/2024,3728 Bonnie View Rd,South Central,distribution,0,75,82,,
5/25/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,139,75,"We would really appreciate earlier produce delivery at our location if possible. We requested 9:00am delivery/set-up at our location for the April and May drives, since all our signs, flyers, and promotional info have a 10:00am start time listed, but at the April and May drives the produce was delivered closer to 10:30am at our location; The produce recipients were very patient and understanding about waiting for the produce delivery, but in the summer months, late delivery may cause some problems, as a long line of early arrivals tends to form at our location, and there were some concerns about the line extending into the street traffic and concerns about elderly people feeling unwell as they waited in line in the heat, since many of the produce recipients at our location are from a nearby retirement home; With more timely delivery, we could begin to serve people as soon as the start time begins and reduce the amount of time that people have to wait in the heat; We happened to have extra folding chairs and bottled water on hand to give to those elderly people waiting in line who began to feel unwell in the heat. So it may be a good idea for the summer months to have a small or medium pack of bottled water on hand for emergencies like that; For the next drive at our location, we are also planning to situate the line in a shaded area to help with the same issue.",
5/25/2024,9756 Walnut St,North East,distribution,0,75,75,We will be moving a block down to hit the heart of the cell and the North Dallas Community,
5/25/2024,"7191 American Way Dallas,TX",South West,distribution,0,50,50,Was told by City Of Dallas employee that the crime rate is going down in this particular area!,
5/25/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
5/25/2024,9507 Overlake Dr,North West,distribution,0,,,,
6/1/2024,6100 Samuel Blvd.,South East ,distribution,0,346,142,"Due to power outages in the community, multiple families were displaced for nearly five days. We reallocated funds from Dice Programming to Emergency Rehousing to address the urgent housing and shelter needs of the community. As a result, people were placed into housing and will received ongoing support as needed.",
6/8/2024,13510 Esperanza Rd ,North Central,clean,,0,0,,
7/13/2024,13750 Esperanza Rd,North Central,clean,,0,0,,
8/10/2024,13606 Esperanza Rd,North Central,clean,,0,0,,
9/14/2024,8500 Midpark Dr,North Central,clean,,0,0,,
10/9/2024,8550 Spring Valley Rd,North Central,clean,,0,0,,
11/9/2024,13695 Goldmark Dr Dallas,North Central,clean,,0,0,,
12/14/2024,Cottonwood Creek Trail,North Central,clean,,0,0,,
01/11/2025,13999 Goldmark Dr,North Central,clean,,0,0,,
02/08/2025,8500 Midpark Dr,North Central,clean,,0,0,,
03/08/2025,13450 Esperanza Rd,North Central,clean,,0,0,,
6/8/2024,9625 Webb Chapel Rd,North West,clean,,0,0,,
7/13/2024,3410 Hidalgo Dr,North West,clean,,0,0,,
8/10/2024,3321 Chapel Creek Dr,North West,clean,,0,0,,
9/14/2024,9771 Webb Chapel Rd,North West,clean,,0,0,,
10/9/2024,3535 Webb Chapel Rd,North West,clean,,0,0,,
11/9/2024,9501 Larga Rd,North West,clean,,0,0,,
12/14/2024,3410 Hidalgo Dr,North West,clean,,0,0,,
01/11/2025,9625 Webb Chapel Rd,North West,clean,,0,0,,
02/08/2025,9771 Webb Chapel Rd,North West,clean,,0,0,,
03/08/2025,3535 Webb Chapel Rd,North West,clean,,0,0,,
6/8/2024,13015 Audelia Rd,North East,clean,,0,0,,
7/13/2024,9756 Walnut St,North East,clean,,0,0,,
8/10/2024,9835 Walnut St,North East,clean,,0,0,,
9/14/2024,12907 Audelia Rd/Walnut St,North East,clean,,0,0,,
10/9/2024,13015 Audelia Rd,North East,clean,,0,0,,
11/9/2024,Audelia Branch,North East,clean,,0,0,,
12/14/2024,9756 Walnut St,North East,clean,,0,0,,
01/11/2025,13015 Audelia Rd,North East,clean,,0,0,,
02/08/2025,Walnut Mall Parking Lot,North East,clean,,0,0,,
03/08/2025,9835 Walnut St ,North East,clean,,0,0,,
6/8/2024,3800 Bonnie View Rd,South Central,clean,,0,0,,
7/13/2024,2921 Bonnie View Rd,South Central,clean,,0,0,,
8/10/2024,2921 Bonnie View Rd,South Central,clean,,0,0,,
9/14/2024,2836 Overton Rd,South Central,clean,,0,0,,
10/9/2024,3021 Overton Rd,South Central,clean,,0,0,,
11/9/2024,3623 Bonnie View Rd,South Central,clean,,0,0,,
12/14/2024,3800 Bonnie View Rd,South Central,clean,,0,0,,
01/11/2025,3700 Bonnie View Rd,South Central,clean,,0,0,,
02/08/2025,2921 Bonnieview Rd,South Central,clean,,0,0,,
03/08/2025,2921 Bonnie View Rd,South Central,clean,,0,0,,
6/8/2024,7191 American Way Rd,South West,clean,,0,0,,
7/13/2024,4028 W Camp Wisdom Rd,South West,clean,,0,0,,
8/10/2024,7191 American Way,South West,clean,,0,0,,
9/14/2024,2800 Camp Wisdom Rd,South West,clean,,0,0,,
10/9/2024,7108 Camp Wisdom Rd,South West,clean,,0,0,,
11/9/2024,7191 American Way Rd ,South West,clean,,0,0,,
12/14/2024,2800 Camp Wisdom Rd,South West,clean,,0,0,,
01/11/2025,4028 W Camp Wisdom Rd,South West,clean,,0,0,,
02/08/2025,2800 Camp Wisdom Rd,South West,clean,,0,0,,
03/08/2025,7191 American Way Rd,South West,clean,,0,0,,
6/8/2024,5557 N Jim Miller Rd,South East,clean,,0,0,,
7/13/2024,117 Murdock Rd,South East,clean,,0,0,,
8/10/2024,7949 S Loop 12,South East,clean,,0,0,,
9/14/2024,6100 Samuell Blvd,South East,clean,,0,0,,
10/9/2024,7108 Camp Wisdom Rd,South East,clean,,0,0,,
11/9/2024,5542 N Jim Miller Rd ,South East,clean,,0,0,,
12/14/2024,117 Murdock Rd,South East,clean,,0,0,,
01/11/2025,557 N Jim Miller Rd,South East,clean,,0,0,,
02/08/2025,6100 Samuell Blvd,South East,clean,,0,0,,
03/08/2025,6100 Samuell Blvd,South East,clean,,0,0,,
6/29/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
6/29/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
6/29/2024,9756 Walnut St,North East,distribution,0,,,,
6/29/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
6/29/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
6/29/2024,9507 Overlake Dr,North West,distribution,0,,,,
7/27/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
7/27/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
7/27/2024,9756 Walnut St,North East,distribution,0,,,,
7/27/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
7/27/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
7/27/2024,9507 Overlake Dr,North West,distribution,0,,,,
8/31/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
8/31/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
8/31/2024,9756 Walnut St,North East,distribution,0,,,,
8/31/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
8/31/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
8/31/2024,9507 Overlake Dr,North West,distribution,0,,,,
9/28/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
9/28/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
9/28/2024,9756 Walnut St,North East,distribution,0,,,,
9/28/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
9/28/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
9/28/2024,9507 Overlake Dr,North West,distribution,0,,,,
10/30/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
10/30/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
10/30/2024,9756 Walnut St,North East,distribution,0,,,,
10/30/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
10/30/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
10/30/2024,9507 Overlake Dr,North West,distribution,0,,,,
11/30/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
11/30/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
11/30/2024,9756 Walnut St,North East,distribution,0,,,,
11/30/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
11/30/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
11/30/2024,9507 Overlake Dr,North West,distribution,0,,,,
12/21/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
12/21/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
12/21/2024,9756 Walnut St,North East,distribution,0,,,,
12/21/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
12/21/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
12/21/2024,9507 Overlake Dr,North West,distribution,0,,,,
1/25/2025,3728 Bonnie View Rd,South Central,distribution,0,,,,
1/25/2025,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
1/25/2025,9756 Walnut St,North East,distribution,0,,,,
1/25/2025,"7191 American Way Dallas,TX",South West,distribution,0,,,,
1/25/2025,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
1/25/2025,9507 Overlake Dr,North West,distribution,0,,,,
2/22/2025,3728 Bonnie View Rd,South Central,distribution,0,,,,
2/22/2025,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
2/22/2025,9756 Walnut St,North East,distribution,0,,,,
2/22/2025,"7191 American Way Dallas,TX",South West,distribution,0,,,,
2/22/2025,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
2/22/2025,9507 Overlake Dr,North West,distribution,0,,,,
3/29/2025,3728 Bonnie View Rd,South Central,distribution,0,,,,
3/29/2025,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
3/29/2025,9756 Walnut St,North East,distribution,0,,,,
3/29/2025,"7191 American Way Dallas,TX",South West,distribution,0,,,,
3/29/2025,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
3/29/2025,9507 Overlake Dr,North West,distribution,0,,,,