objectid,partner,date,event_type,summary,comments,people_served,lbs_trash,district,bags,street_address,lbs_produce,formatted_month,division,globalid,CreationDate,Creator,EditDate,Editor,volunteer_name,month_year
2,Urban Specialists ,2024-07-20,Community Mentorship,Connected Monter Mon to Itziar at Forest Audelia Boxing gym so his son who is on probation could connect to the gym and so Mon could help Itziar by mentoring youth at the recreation center.,,,,,0,,0,"July, 2024",,,,,,,,2024-07-01
3,Urban Specialists ,2024-07-20,Clean Up,Urban Specialists team did a clean up of the Forest Audelia basketball courts and park area,,,,,0,,0,"July, 2024",NORTHEAST,,,,,,,2024-07-01
4,Urban Specialists ,2024-07-22,Workforce Training,Connecting Gale aka AJ to workforce and other hiring possibilities. He is a highschool student who is a victim of violence who lost his eye during a shooting that also killed his friend at a downtown 7-11. We will also be seeing about ways to have him help assist with Killin Ain't Cool,,,,,0,,0,"July, 2024",,,,,,,,2024-07-01
5,Pop Up Comfort ,2024-06-29,Produce Drive,"Produce drive in the northeast hot spot
115 bags of produce 
300 people able to eat from those bags ",Produce drive,300,,NORTHEAST,115,,1150,"June, 2024",NORTHEAST,,,,,,,2024-06-01
6,Pop Up Comfort ,2024-07-12,Inspection / Site Visit,"Drove to the edan Apts. Did some area canvassing, the neighborhood is extremely active with open air drug sales, high trash build ups, boarded up church. Didn't get many photos , did see areas we could win...especially with the help from Corey he knows the area well.",,,,SOUTHEAST,0,,0,"July, 2024",SOUTHEAST,,,,,,,2024-07-01
7,Pop Up Comfort ,2024-07-30,Inspection / Site Visit,"Viewed the Shady brook and park lane area.

There's a growing house less community right off shady Brook, next to McDonald's..across from that area there's a couple corner stores and shopping centers where people hang out and some were sleeping.",,0,,NORTHEAST,0,,0,"July, 2024",NORTHEAST,,,,,,,2024-07-01
8,Pop Up Comfort ,2024-07-29,Inspection / Site Visit,"Went to check out 2833 E Ledbetter. 
A very open air drug location sales and usage.

The biggest visual issue is the abandoned McDonald's where everyone hang out and do their thing. 
Mostly the youth.  I think many of the youth were unhoused. Went back at night and noticed some youth sleeping in the dart bus stops.

The apartments in the area has some work to do...

I spoke with serun and will loop them in so they can handle the code end of it!!",,0,,SOUTHWEST,0,,0,"July, 2024",SOUTHWEST,,,,,,,2024-07-01
9,Pop Up Comfort ,2024-08-11,other,"Set up at forest and Audelia.  Passed out tons of school supplies and produce,
Engaged the community and got to hear their needs and wants for the area",Back to school event,102,,NORTHEAST,0,,0,"August, 2024",NORTHEAST,,,,,,,2024-08-01
10,Pop Up Comfort ,2024-08-12,Inspection / Site Visit,"Went to Ledbetter park. 

Measured the playground area so we can start work this week. The area will need the weeds removed so we can add the mulch.  Also marked the area to add inexpensive soccer goals

Also the property across the street has turned into a jungle its completely out of hand ",,0,,SOUTHWEST,0,,0,"August, 2024",SOUTHWEST,,,,,,,2024-08-01
11,Pop Up Comfort ,2024-08-13,Inspection / Site Visit,"Went to canvas Martin lurther king and 45

This area actually looks pretty good other than construction.  No more house less set ups.the park is clean and active..it's 4mins from out Jeffries location.

This may be one we can remove from the list..",,0,,SOUTHEAST,0,,0,"August, 2024",SOUTHEAST,,,,,,,2024-08-01
12,United Peoples Coalition,2024-08-17,Clean Up,Cleaned up 2 lots off of Bonnie ,,,7,,0,,0,"August, 2024",SOUTH CENTRAL,,,,,,,2024-08-01
13,United People's Coalition ,2024-08-17,Clean Up,"Trash pickup/blight work near residence, Walkable areas and a bus stop.",,,35,NORTHWEST,0,,0,"August, 2024",NORTHWEST,,,,,,,2024-08-01
14,United People’s Coalition ,2024-08-17,Clean Up,Picked up trash and debris along the trail,,0,10,NORTH CENTRAL,0,,0,"August, 2024",NORTH CENTRAL,,,,,,,2024-08-01
15,Pop Up Comfort ,2024-08-18,Clean Up,"Cleaned the North East section audelia and walnut..
The area is pretty tidy these days

The biggest eye sore has been removed due to a few complaints. The donation box..the upkeep was lacking to.say the lease",,0,,,0,,0,"August, 2024",NORTHEAST,,,,,,,2024-08-01
16,Pop Up Comfort ,2024-08-19,Inspection / Site Visit,"Went to get eyes on the knight st and maple Ave location. Down to king and maple. 

The front streets wasn't bad,and saw basic foot traffic. No real trashy  spots on the main street 

The issue area would be king rd and lake ave..there's a dead end that's been used as a dumping ground and a couple houseless people staying down on the creek
",,0,,NORTHWEST,0,,0,"August, 2024",NORTHWEST,,,,,,,2024-08-01
17,Not My Son,2024-08-17,Clean Up,"Last Saturday, we hosted a highly successful ""Community Clean and Green"" event that brought together volunteers, local businesses, and community leaders with a shared goal of enhancing our neighborhood's environment. The day kicked off at 8:00 AM with a brief welcome and orientation session at our designated gathering spot, where volunteers were provided with gloves, trash bags, recycling bins, and safety gear.",,15,,NORTHEAST,0,,0,"August, 2024",NORTHEAST,,,,,,,2024-08-01
18,Pop Up Comfort ,2024-08-24,other,"One of the extremely overgrown properties across from eagle ford park has finally been taken care of ..haven't seen as many stray cats 

We wanted to find the property owner 
",A win,0,,SOUTHWEST,0,,0,"August, 2024",SOUTHWEST,,,,,,,2024-08-01
19,Not My Son ,2024-08-24,Produce Drive,"The recent Produce Drive served 287 community members, marking one of our most critical need days. Despite the high turnout, we faced a challenging situation where the demand exceeded our supply, leading us to turn away several cars. This underscored the pressing need for more resources to meet the community's growing demand for fresh produce.

Moving forward, we are committed to scaling up our efforts, securing additional partnerships, and increasing the amount of produce available at future drives. Our goal is to ensure that we can serve all those in need without having to turn anyone away.",,287,,SOUTHEAST,146,,1460,"August, 2024",SOUTHEAST,,,,,,,2024-08-01
20,United people’s coalition ,2024-08-31,Produce Drive,Produce distribution ,,146,8,,56,,560,"August, 2024",SOUTH CENTRAL,,,,,,,2024-08-01
21,Goldmark Cultural Center ,2024-08-31,Produce Drive,"Bagged and distributed produce at 13999 Goldmark Dr (North Central Division). Distribution began around 9am and continued until around 11.30am when produce ran too low to make additional bags. In total, 76 bags of produce were distributed, and 85 people were served.",,85,,NORTH CENTRAL,76,,760,"August, 2024",NORTH CENTRAL,,,,,,,2024-08-01
22,United Peoples Coalition ,2024-09-01,Produce Drive,Distribution of produce bags to families in apartments.,,50,,NORTHWEST,14,,140,"September, 2024",NORTHWEST,,,,,,,2024-09-01
23,Serun,2024-08-14,Clean Up,A get Up 2 Code was performed in Oak Cliff. (See Get Up 2 Code Email),,0,300,SOUTH CENTRAL,0,,0,"August, 2024",SOUTH CENTRAL,,,,,,,2024-08-01
24,Serun,2024-06-01,Inspection / Site Visit,"Canvassing the North Central/Esperanza area to inform residents about utilizing 311 to report violations at the abandoned wal mart. After canvassing the area coupled with efforts made by Joe and Thaddues, the property was bought up to code by wal mart and the overgrown weeds and shrubbery were gone.  (See Get Up 2 Code Report)",,0,400,NORTH CENTRAL,0,,0,"June, 2024",NORTH CENTRAL,,,,,,,2024-06-01
25,Robbin Hood Inc ,2024-08-31,Produce Drive,"We held out back to school event. We gave away Produce, school supplies and shoes! Also held a clean up before hand! ",,300,15,SOUTHWEST,143,,1430,"August, 2024",SOUTHWEST,,,,,,,2024-08-01
26,Urban Specialists ,2024-09-12,Community Mentorship,Parent Investment events at Pleasant Oaks.Recreation Center,,72,,,0,,0,"September, 2024",,,,,,,,2024-09-01
27,Pop Up Comfort ,2024-09-14,Clean Up,Clean and green north east,,0,42,NORTHEAST,0,,0,"September, 2024",NORTHEAST,,,,,,,2024-09-01
28,United peoples coalition ,2024-09-14,Clean Up,Clear field for blight project,,10,1500,SOUTH CENTRAL,0,,0,"September, 2024",SOUTH CENTRAL,,,,,,,2024-09-01
29,UPC,2024-09-14,Clean Up,,,20,6,,0,,0,"September, 2024",NORTH CENTRAL,,,,,,,2024-09-01
30,Robbin Hood Inc,2024-09-14,Clean Up,Clean up at 2800 Camp Wisdom,,0,10,SOUTH CENTRAL,0,,0,"September, 2024",SOUTH CENTRAL,,,,,,,2024-09-01
31,UNITED PEOPLE'S COALITION ,2024-09-14,Clean Up,Cleanup along heavy foot traffic and residential areas.,,80,10,,0,,0,"September, 2024",NORTHWEST,,,,,,,2024-09-01
32,Not My Son ,2024-09-21,Produce Drive,"Today’s produce distribution was our biggest impact yet, serving 507 families in South Dallas. Volunteers worked tirelessly, ensuring every car received fresh produce, and we proudly served until the very last car a truly amazing accomplishment!",,507,,NORTHEAST,183,,1830,"September, 2024",NORTHEAST,,,,,,,2024-09-01
33,United People Coalition,2024-09-28,Produce Drive,Cleaned up 4 lots off of Bonnie view around our site and produce drive,,30,42,SOUTH CENTRAL,12,,120,"September, 2024",SOUTH CENTRAL,,,,,,,2024-09-01
34,Goldmark Cultural Center ,2024-09-28,Produce Drive,"Produce drive at 13999 Goldmark Dr, 9/28/24. Set up and delivery of produce at 9am. Distribution of produce began shortly after and continued until 12pm.

97 bags of produce were distributed to households, totaling 174 individuals served.",,174,,NORTH CENTRAL,97,,970,"September, 2024",NORTH CENTRAL,,,,,,,2024-09-01
35,United peoples coalition ,2024-09-28,Produce Drive,Produce bags were hand delivered door to door to residents in the area.,,65,,NORTHWEST,18,,180,"September, 2024",NORTHWEST,,,,,,,2024-09-01
36,Pop Up Comfort ,2024-09-28,Produce Drive,Produce drive,,234,,NORTHEAST,84,,840,"September, 2024",NORTHEAST,,,,,,,2024-09-01
37,Pop Up Comfort ,2024-08-29,other,Updates from Ledbetter Eagle Ford Park ,Park restoration ,0,20,SOUTHWEST,0,,0,"August, 2024",SOUTHWEST,,,,,,,2024-08-01
38,Robbin Hood Inc,2024-09-28,Produce Drive,Produce giveaway ,,240,,SOUTHWEST,114,,1140,"September, 2024",SOUTHWEST,,,,,,,2024-09-01
39,UPC,2024-10-12,Clean Up,Trail off fordham cleared and clean ,,30,25,,0,,0,"October, 2024",SOUTH CENTRAL,,,,,,,2024-10-01
40,Not My Son Limited ,2024-10-12,Clean Up,Today we focus on the removal of trash in our area. It appears to have send a surge on f trash from past clean-ups however we still maintain no presence on of new homeless activity on the closed encampment grounds. ,,0,280,,0,,0,"October, 2024",SOUTHEAST,,,,,,,2024-10-01
41,Pop Up Comfort ,2024-10-12,Clean Up,Clean and green..the city is needing the cut the overgrown grass,,0,17,,0,,0,"October, 2024",NORTH CENTRAL,,,,,,,2024-10-01
42,UPC ,2024-10-12,Clean Up,"Cleaned up debris along the trail, the community has done well keeping the trail clean. The city has even placed more trash cans along the trail which should also help",,0,16,NORTH CENTRAL,0,,0,"October, 2024",NORTH CENTRAL,,,,,,,2024-10-01
43,Robbin Hood Inc,2024-10-12,Clean Up,Community Clean,,0,20,SOUTHWEST,0,,0,"October, 2024",SOUTHWEST,,,,,,,2024-10-01
44,United Peoples Coalition (UPC),2024-10-12,Clean Up,Cleaning up,,3,20,NORTHWEST,0,,0,"October, 2024",NORTHWEST,,,,,,,2024-10-01
45,Bachman Lake Together ,2024-10-15,Community Mentorship,Bachman Lake Together hosted a fall community event that featured resources and food distribution.  ,,177,,,0,,0,"October, 2024",NORTHWEST,,,,,,,2024-10-01
46,UPC,2024-10-12,Clean Up,Cleaned up trash by Webb Chapel,,3,,,0,,0,"October, 2024",NORTHWEST,,,,,,,2024-10-01
47,Goldmark Cultural Center,2024-10-26,Produce Drive,"We began setting up at 9am. Produce delivery arrived at 9:40am and we immediately started bagging produce. We began distributing produce at 10am and continued until 12pm.

Several people waiting in line for produce kindly volunteered to help with bagging when they noticed we were low on volunteers.

92 bags of produce were distributed, serving 167 people.",,167,,NORTH CENTRAL,92,,920,"October, 2024",NORTH CENTRAL,,,,,,,2024-10-01
48,Not My Son Limited ,2024-10-26,Produce Drive,"On October 26, we successfully hosted our Produce Drive, with 407 families served in our local community. This effort was supported by a dedicated team of 20 volunteers, who played a crucial role in ensuring smooth operations and meaningful community impact.

Thanks to your support, we continue to make strides in addressing food insecurity and promoting access to fresh, healthy produce for underserved families in the Southeast Dallas area. We look forward to sustaining and expanding these efforts through our partnership.",,407,,,207,,2070,"October, 2024",SOUTHEAST,,,,,,,2024-10-01
49,Pop Up Comfort ,2024-10-27,Produce Drive,Pop Up Comfort got out 60 bags of produce ,,137,,NORTHEAST,60,,600,"October, 2024",NORTHEAST,,,,,,,2024-10-01
50,United Peoples Coalition “Bonnie View”,2024-10-26,Produce Drive,Produce Distribution for Bonnie View and Highland Hills. Also a trash pick up for the Bonnie view location,,150,40,,58,,580,"October, 2024",SOUTH CENTRAL,,,,,,,2024-10-01
,Robbin Hood INC,2024-04-13,Clean Up,"A Get Up 2 Code event was done on two properties simultaneously- on one property (Pastor Jenkins) we removed multiple articles of bulk trash including a broken go-kart, air conditioners, bath tub, couches, mattresses, and more. On the other property (Jeff) we removed large piles of dead branches and overgrown vegetation, as well as multiple junk doors and door panes.",Clients were uncomfortable with before pictures- going forward we will get proper before/after photos,0,650,South West,0,2800 Camp Wisdom Rd,0,"April, 2024",SOUTH CENTRAL,,,,,,,2024-04-01
,Not My Son,2024-04-13,Clean Up,"At the inaugural Clean and Green event, we successfully cleaned multiple parking lots and storefronts that were heavily littered, making a significant difference all the way up to the doors. The positive feedback from store managers, owners, and patrons underscores the impact and importance of our efforts in improving the local environment. In addition to the physical cleanup, our Clean and Green event fostered a strong sense of community within the neighborhood. By working together toward a common goal of beautification and environmental stewardship, we strengthened bonds among residents and businesses, creating a more connected and supportive community spirit.","We plan to leverage social media platforms to share success stories, photos, and future event announcements can help broaden community involvement.",0,540,South East,0,5542 N Jim Miller rd,0,"April, 2024",NORTH CENTRAL,,,,,,,2024-04-01
,United Peoples Coalition,2024-04-13,Clean Up,Cleared a parking lot and grassed areas,na,0,50,South Central,0,3623 Bonnie View Rd,0,"April, 2024",NORTHEAST,,,,,,,2024-04-01
,Pop Up Comfortt,2024-04-13,Clean Up,"Today we were about to clean the entire area, we crossed the intersection once we finished in our area to continue the cleaning. The volunteers were very excited and wanted to keep going.  So we did all 4 corners of the intersection. We keep the glass separated in order to ♻️ it. We also are deciding to have a lawn care team.come to the area and cut the grass. The city missed some areas. Neighbors honked and gave us thumbs up.",We have more photos to share aswell,0,30,North East,0,9761 walnut st,0,"April, 2024",NORTHEAST,,,,,,,2024-04-01
,United Peoples Coalition,2024-04-13,Clean Up,Collectively we covered 3 blocks on Esperanza Rd collecting trash and debris along the walk/bike path.,na,0,5,North Central,0,13450 Esperanza Rd,0,"April, 2024",NORTH CENTRAL,,,,,,,2024-04-01
,United Peoples Coalition,2024-04-13,Clean Up,,,,80,North West,0,9501 Larga Dr,0,"April, 2024",SOUTHEAST,,,,,,,2024-04-01
,United Peoples Coalition,2024-04-25,Clean Up,Cleared the parking lot and gated in edges of grass where kids play. Multiple volunteers came out,If we cut the grass in the back area it would be a great place for the kids to play. They would do well with a basketball court to help the community enjoy the open space more,0,50,South Central,0,3623 Bonnie View,0,"April, 2024",SOUTH CENTRAL,,,,,,,2024-04-01
,Not My Son,2024-04-27,Produce Drive,,We would like more fruit.,252,,South East,150,6100 Samuell Blvd,1500,"April, 2024",SOUTHEAST,,,,,,,2024-04-01
,Robbin Hood INC and Oak Cliff Veggie Project,2024-04-27,Produce Drive,,"This is a very unique sight, early afternoon produce drive may reach more residents than morning drives. Also, “ready to eat” bags will be great for this site as well. A very close knit community (everyone knows everyone).",35,,South West,40,7191 American Way,400,"April, 2024",SOUTHWEST,,,,,,,2024-04-01
,Pop Up Comfortt,2024-04-27,Produce Drive,,We also added bread to our produce drive. This is something we're going to attempt to add site wide..the community was so surprised it was for free,87,,North East,87,9756 Walnut St,870,"April, 2024",NORTHEAST,,,,,,,2024-04-01
,Goldmark Cultural Center,2024-04-27,Produce Drive,,The signage we created and set up to indicate where the event was taking place was very helpful for local residents and for directing traffic flow; Simple flyers with dates for the upcoming produce drives were very helpful for local residents. A flyer could be included in each produce bag. Future flyers should be in both Spanish and English; Spanish-speaking volunteers were very helpful in our location. We did not anticipate needing Spanish-speaking volunteers.,70,,North Central,76,13999 Goldmark Dr,760,"April, 2024",NORTH CENTRAL,,,,,,,2024-04-01
,United Peoples Coalition,2024-04-27,Produce Drive,,,60,,South Central,80,3728 Bonnie View Rd,800,"April, 2024",SOUTH CENTRAL,,,,,,,2024-04-01
,United Peoples Coalition,2024-04-27,Produce Drive,,"Future plans to have physical flyers and signage in English and Spanish for recipients, prior to the week of distribution.",75,,North West,75,3410 Hidalgo Dr.,750,"April, 2024",NORTHWEST,,,,,,,2024-04-01
,Bachman Lake Together,2024-04-27,Produce Drive,,,100,,North West,50,9507 Overlake Dr,500,"April, 2024",NORTHWEST,,,,,,,2024-04-01
,United Peoples Coalition,2024-05-11,Clean Up,"We cleaned up refuse on Bolivar Drive in front of a new apartment development. Additionally, we picked up trash down a prominent alley with lots of empty bottles and plastic litter lining the road and fences.",na,0,50,North West,0,9645 Webb Chapel Rd,0,"May, 2024",NORTHWEST,,,,,,,2024-05-01
,United Peoples Coalition,2024-05-11,Clean Up,The heavy foot traffic areas in front of apartments on Larga and Bolivar behind small businesses were cleaned.,The areas where the sidewalk runs out and where construction is happening tends to have large amounts bulk and bottle trash.,0,30,North West,0,9501 Larga Dr,0,"May, 2024",NORTHWEST,,,,,,,2024-05-01
,United Peoples Coalition,2024-05-11,Clean Up,Was a lot more glass on the ground,,0,15,South Central,0,3623 Bonnie View,0,"May, 2024",SOUTH CENTRAL,,,,,,,2024-05-01
,Pop Up Comfortt,2024-05-12,Clean Up,Today we had more trash than last week would love to figure out why...our biggest issue is lawn care..which we are working on when the ground dry from all the rain.,Let's find out ways to get the lawn care handle as a unit,0,40,North East,0,9761 walnut st,0,"May, 2024",NORTHEAST,,,,,,,2024-05-01
,United Peoples Coalition,2024-05-25,Produce Drive,,,75,,South Central,82,3728 Bonnie View Rd,820,"May, 2024",SOUTH CENTRAL,,,,,,,2024-05-01
,Goldmark Cultural Center,2024-05-25,Produce Drive,"We would really appreciate earlier produce delivery at our location if possible. We requested 9:00am delivery/set-up at our location for the April and May drives, since all our signs, flyers, and promotional info have a 10:00am start time listed, but at the April and May drives the produce was delivered closer to 10:30am at our location; The produce recipients were very patient and understanding about waiting for the produce delivery, but in the summer months, late delivery may cause some problems, as a long line of early arrivals tends to form at our location, and there were some concerns about the line extending into the street traffic and concerns about elderly people feeling unwell as they waited in line in the heat, since many of the produce recipients at our location are from a nearby retirement home; With more timely delivery, we could begin to serve people as soon as the start time begins and reduce the amount of time that people have to wait in the heat; We happened to have extra folding chairs and bottled water on hand to give to those elderly people waiting in line who began to feel unwell in the heat. So it may be a good idea for the summer months to have a small or medium pack of bottled water on hand for emergencies like that; For the next drive at our location, we are also planning to situate the line in a shaded area to help with the same issue.",,139,,North Central,75,13999 Goldmark Dr,750,"May, 2024",NORTH CENTRAL,,,,,,,2024-05-01
,Pop Up Comfortt,2024-05-25,Produce Drive,We will be moving a block down to hit the heart of the cell and the North Dallas Community,,75,,North East,75,9756 Walnut St,750,"May, 2024",NORTHEAST,,,,,,,2024-05-01
,Robbin Hood INC and Oak Cliff Veggie Project,2024-05-25,Produce Drive,Was told by City Of Dallas employee that the crime rate is going down in this particular area!,,50,,South West,50,7191 American Way,500,"May, 2024",SOUTHWEST,,,,,,,2024-05-01
,Not My Son,2024-05-25,Produce Drive,"Due to power outages in the community, multiple families were displaced for nearly five days. We reallocated funds from Dice Programming to Emergency Rehousing to address the urgent housing and shelter needs of the community. As a result, people were placed into housing and will received ongoing support as needed.",,346,,South East,142,6100 Samuell Blvd,1420,"May, 2024",SOUTHEAST,,,,,,,2024-05-01
,United Peoples Coalition,2024-05-25,Produce Drive,,,388,,North West,100,9507 Overlake Dr,1000,"May, 2024",NORTHWEST,,,,,,,2024-05-01
,Bachman Lake Together,2024-05-25,Produce Drive,,,100,,North West,50,9507 Overlake Dr,500,"May, 2024",NORTHWEST,,,,,,,2024-05-01
,United Peoples Coalition,2024-06-08,Clean Up,The trail really needed some love. Between the 3 of us we were able to disperse among the trail and gather almost 30 lbs of trash,The next few clean ups in this area we hope to attack more behind the apartments. It is nice to see the city has placed more trash cans along the trail hopefully we see this lead to less waste along the trail,0,25,North Central,0,13510 Esperanza Rd,0,"June, 2024",NORTH CENTRAL,,,,,,,2024-06-01
,United Peoples Coalition,2024-06-08,Clean Up,Shopping center parking lot and sidewalk clean up,Plan to extend work on the other side of the intersection of Larga and Webb Chapel.,0,10,North West,0,9625 Webb Chapel Rd,0,"June, 2024",NORTHWEST,,,,,,,2024-06-01
,Pop Up Comfortt,2024-06-08,Clean Up,Today the area was mostly old clothes in YNt streets and car parts.  Not as much trash..however noticing more dumping,Have more images,0,17,North East,0,13015 Audelia Rd,0,"June, 2024",NORTHEAST,,,,,,,2024-06-01
,United Peoples Coalition,2024-06-08,Clean Up,We cleaned the lot and side street,,0,5,South Central,0,3800 Bonnie View Rd,0,"June, 2024",SOUTH CENTRAL,,,,,,,2024-06-01
,Serun Foundation,2024-06-09,Clean Up,"A cleanup of the grounds of El Shaddai apartments, with the residents as volunteers. We also had a cookout with the residents and educated them about their landlords (Monroe Group) and how to place code violations on their apartments",We need CPALs help on June 24th to address the committee of housing and homeless solutions- interventions are needed at this sight because they are owned by negligent slumlords at the Monroe Group,0,200,South Central,0,2836 Overton Rd,0,"June, 2024",SOUTH CENTRAL,,,,,,,2024-06-01
